year,component,weight,mean_norm,std_norm,min_norm,max_norm,weighted_mean
2022,Direct Exposure,0.5,0.506,0.2858,0.1607,1.0,0.253
2022,Cascading Exposure,0.2,0.506,0.282,0.1964,1.0,0.1012
2022,Dependency Concentration,0.2,0.506,0.2536,0.1548,1.0,0.1012
2022,Non-Substitutability,0.1,0.506,0.2515,0.0119,0.8571,0.0506
2023,Direct Exposure,0.5,0.5068,0.2853,0.1689,1.0,0.2534
2023,Cascading Exposure,0.2,0.5068,0.2772,0.2297,1.0,0.1014
2023,Dependency Concentration,0.2,0.5068,0.2585,0.1554,1.0,0.1014
2023,Non-Substitutability,0.1,0.5068,0.2563,0.0135,0.8581,0.0507
2024,Direct Exposure,0.5,0.5069,0.2878,0.1389,1.0,0.2535
2024,Cascading Exposure,0.2,0.5069,0.2851,0.1736,1.0,0.1014
2024,Dependency Concentration,0.2,0.5069,0.2528,0.1319,0.7014,0.1014
2024,Non-Substitutability,0.1,0.5069,0.2501,0.0139,0.8819,0.0507
