tier,year,rank,canonical_firm_id,canonical_name,node_type,composite_risk,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm
top10,2022,1,FIRM_0129,Red Hat,target_entity,0.8619047619047618,0.988095238095238,0.9404761904761904,0.6964285714285714,0.4047619047619047
top10,2022,2,FIRM_0029,Cainiao,target_entity,0.8297619047619048,1.0,0.75,0.6964285714285714,0.4047619047619047
top10,2022,3,FIRM_0084,LinkedIn,target_entity,0.8202380952380953,0.9285714285714286,0.8809523809523809,0.6964285714285714,0.4047619047619047
top10,2022,4,FIRM_0167,VK Company,target_entity,0.8107142857142856,0.9761904761904762,0.7142857142857143,0.6964285714285714,0.4047619047619047
top10,2022,5,FIRM_0110,Nuance Communications,target_entity,0.8095238095238094,0.9166666666666669,0.8571428571428571,0.6964285714285714,0.4047619047619047
top10,2022,6,FIRM_0079,Kyndryl,target_entity,0.807142857142857,0.8928571428571429,0.9047619047619048,0.6964285714285714,0.4047619047619047
top10,2022,7,FIRM_0060,GitHub,target_entity,0.8011904761904761,0.9047619047619048,0.8452380952380952,0.6964285714285714,0.4047619047619047
top10,2022,8,FIRM_0081,Lazada,target_entity,0.794047619047619,0.9523809523809524,0.6904761904761905,0.6964285714285714,0.4047619047619047
top10,2022,9,FIRM_0075,JPMorgan Chase,target_entity,0.7880952380952381,0.869047619047619,0.869047619047619,0.6964285714285714,0.4047619047619047
top10,2022,10,FIRM_0003,Activision Blizzard,target_entity,0.7869047619047619,0.8809523809523809,0.8333333333333333,0.6964285714285714,0.4047619047619047
top10,2023,1,FIRM_0110,Nuance Communications,target_entity,0.8554054054054053,0.9864864864864864,0.8918918918918919,0.7094594594594595,0.4189189189189188
top10,2023,2,FIRM_0129,Red Hat,target_entity,0.8472972972972973,0.9594594594594592,0.9189189189189187,0.7094594594594595,0.4189189189189188
top10,2023,3,FIRM_0115,OpenAI,target_entity,0.845945945945946,0.9729729729729728,0.8783783783783784,0.7094594594594595,0.4189189189189188
top10,2023,4,FIRM_0084,LinkedIn,target_entity,0.822972972972973,0.9324324324324323,0.8648648648648648,0.7094594594594595,0.4189189189189188
top10,2023,5,FIRM_0060,GitHub,target_entity,0.8135135135135135,0.9189189189189187,0.8513513513513513,0.7094594594594595,0.4189189189189188
top10,2023,6,FIRM_0003,Activision Blizzard,target_entity,0.8040540540540541,0.9054054054054054,0.8378378378378377,0.7094594594594595,0.4189189189189188
top10,2023,7,FIRM_0177,ZeniMax Media,target_entity,0.7810810810810811,0.8648648648648648,0.8243243243243243,0.7094594594594595,0.4189189189189188
top10,2023,8,FIRM_0171,Whole Foods Market,target_entity,0.7797297297297298,0.8783783783783784,0.7837837837837838,0.7094594594594595,0.4189189189189188
top10,2023,9,FIRM_0032,Cerner,target_entity,0.7783783783783784,1.0,0.4729729729729729,0.7094594594594595,0.4189189189189188
