node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability
2,FIRM_0003,Activision Blizzard,target_entity,2023,0.16073743642788565,0.0195264013285306,1.0,0.5
3,FIRM_0004,Alibaba,source_firm,2023,0.0,0.0,0.24135880979879054,0.16666666666666666
4,FIRM_0005,Alibaba Cloud,target_entity,2023,0.0796091609653723,0.012005897714846683,1.0,0.5
5,FIRM_0006,Alphabet,target_entity,2023,0.0,0.0,0.6751353602665555,0.3333333333333333
6,FIRM_0007,Altair Engineering,source_firm,2023,0.0,0.0,0.0,1.0
7,FIRM_0009,Amazon,source_firm,2023,0.025096740042413936,0.1387611105933377,0.3399233175425489,0.25
8,FIRM_0012,Amazon Web Services,target_entity,2023,0.09043447940751831,0.010897312062482095,1.0,0.5
10,FIRM_0016,Ant Group / Alipay,target_entity,2023,0.0,0.0,0.0,1.0
11,FIRM_0017,Anthropic,target_entity,2023,0.09752791629268719,0.00811461261371384,1.0,0.5
14,FIRM_0023,Applica,target_entity,2023,0.06461926914001956,0.006113259079662355,1.0,0.5
15,FIRM_0024,BNP Paribas,target_entity,2023,0.0,0.0,0.0,1.0
16,FIRM_0025,BNY Mellon,target_entity,2023,0.0,0.0,0.0,1.0
17,FIRM_0026,Bilibili,target_entity,2023,0.0,0.0,0.0,1.0
19,FIRM_0029,Cainiao,target_entity,2023,0.1979411481469343,0.0,1.0,0.5
22,FIRM_0032,Cerner,target_entity,2023,0.23038499665901416,0.0018438547486033519,1.0,0.5
23,FIRM_0033,China Broadcasting Network,target_entity,2023,0.0,0.0,0.0,1.0
31,FIRM_0041,Couchbase,source_firm,2023,0.022461098415180073,0.04582013623314261,0.22971743903324138,0.16666666666666666
33,FIRM_0044,Daraz,target_entity,2023,0.07374278068219121,0.0,1.0,0.5
36,FIRM_0048,Dell Technologies,target_entity,2023,0.041931505155100614,0.00509384382483407,1.0,0.5
38,FIRM_0054,Ernst & Young,target_entity,2023,0.0,0.0,0.0,1.0
40,FIRM_0057,First Citizens Bank,target_entity,2023,0.0,0.0,0.0,1.0
42,FIRM_0059,Flex,target_entity,2023,0.0,0.0,0.0,1.0
43,FIRM_0060,GitHub,target_entity,2023,0.1635328701048924,0.019865990916852875,1.0,0.5
44,FIRM_0062,Google Cloud,target_entity,2023,0.0,0.0,0.0,1.0
45,FIRM_0063,Google DeepMind,target_entity,2023,0.0,0.0,0.0,1.0
48,FIRM_0067,Hewlett Packard Enterprise,target_entity,2023,0.041931505155100614,0.00509384382483407,1.0,0.5
49,FIRM_0069,IBM,source_firm,2023,0.06816706570896514,0.0,0.20867566791151967,0.16666666666666666
54,FIRM_0076,JPMorgan Chase Bank,target_entity,2023,0.0,0.0,0.0,1.0
58,FIRM_0081,Lazada,target_entity,2023,0.1552479593309289,0.0,1.0,0.5
59,FIRM_0082,LeapYear Technologies,target_entity,2023,0.046156620814299686,0.004366613628330254,1.0,0.5
60,FIRM_0083,Lenovo,target_entity,2023,0.041931505155100614,0.00509384382483407,1.0,0.5
61,FIRM_0084,LinkedIn,target_entity,2023,0.19148720687495946,0.023261886800075585,1.0,0.5
63,FIRM_0086,MGM Holdings,target_entity,2023,0.0703809705204959,0.0058559060098965846,1.0,0.5
71,FIRM_0097,Microsoft,source_firm,2023,0.0509384382483407,0.42183560091644057,0.6417399771139458,0.3333333333333333
72,FIRM_0098,Microsoft Azure,target_entity,2023,0.0,0.0,0.0,1.0
74,FIRM_0100,MongoDB,source_firm,2023,0.05037439600634972,0.12431196122767413,0.22911806689091402,0.14285714285714285
76,FIRM_0103,Mountain US Corporation,target_entity,2023,0.046156620814299686,0.004366613628330254,1.0,0.5
77,FIRM_0104,NFL,target_entity,2023,0.0,0.0,0.0,1.0
80,FIRM_0107,NetApp,target_entity,2023,0.0,0.0,0.0,1.0
81,FIRM_0110,Nuance Communications,target_entity,2023,0.21944154364502652,0.0266577826832983,1.0,0.5
82,FIRM_0113,One Medical,target_entity,2023,0.0703809705204959,0.0058559060098965846,1.0,0.5
83,FIRM_0114,Open source community,target_entity,2023,0.0,0.0,0.0,1.0
84,FIRM_0115,OpenAI,target_entity,2023,0.21664610996801986,0.02631819309497603,1.0,0.5
85,FIRM_0117,Oracle,source_firm,2023,0.0022486033519553074,0.0,1.0,0.5
86,FIRM_0118,Oracle Financial Services Software,target_entity,2023,0.09084286453627796,0.0007270484171322161,1.0,0.5
93,FIRM_0125,PricewaterhouseCoopers,target_entity,2023,0.0,0.0,0.0,1.0
95,FIRM_0129,Red Hat,target_entity,2023,0.21317819121363454,0.053851981910082454,1.0,0.5
97,FIRM_0131,Rivian,target_entity,2023,0.11562588014081468,0.009620417016258674,1.0,0.5
98,FIRM_0132,SAP,source_firm,2023,0.028565606854346268,0.056466666666666665,1.0000000000000009,0.5
100,FIRM_0134,SAP Ariba,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
101,FIRM_0135,SAP CallidusCloud,target_entity,2023,0.0,0.0,0.0,1.0
102,FIRM_0136,SAP Concur,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
103,FIRM_0137,SAP Deutschland,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
104,FIRM_0138,SAP España,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
105,FIRM_0139,SAP France,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
106,FIRM_0140,SAP Italia,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
108,FIRM_0142,SAP Nederland,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
109,FIRM_0143,SAP Schweiz,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
111,FIRM_0145,SAP SuccessFactors,target_entity,2023,0.0,0.0,0.0,1.0
112,FIRM_0146,SAP UK,target_entity,2023,0.04666666666666667,0.0028565606854346263,1.0,0.5
113,FIRM_0148,STO Express,target_entity,2023,0.0,0.0,0.0,1.0
117,FIRM_0153,Silicon Valley Bank,target_entity,2023,0.0,0.0,0.0,1.0
119,FIRM_0155,Snowflake,source_firm,2023,0.026199681769981522,0.07596496270231538,0.33946600213599143,0.2
120,FIRM_0158,Streamlit,target_entity,2023,0.10985275753803322,0.010392540435426001,1.0,0.5
121,FIRM_0159,Sun Art Retail,target_entity,2023,0.07374278068219121,0.0,1.0,0.5
122,FIRM_0162,Tencent Cloud,target_entity,2023,0.0796091609653723,0.012005897714846683,1.0,0.5
123,FIRM_0163,Teradata,source_firm,2023,0.03335911855861866,0.0906409895066006,0.18593453859531614,0.125
125,FIRM_0165,Toggled,target_entity,2023,0.016666666666666666,0.0,1.0,0.5
126,FIRM_0166,Trendyol,target_entity,2023,0.07374278068219121,0.0,1.0,0.5
130,FIRM_0170,Waymo,target_entity,2023,0.007335865117160632,0.0,1.0,0.5
131,FIRM_0171,Whole Foods Market,target_entity,2023,0.13774561373297053,0.01146084461936903,1.0,0.5
134,FIRM_0175,YTO Express,target_entity,2023,0.0,0.0,0.0,1.0
