affected_node_id,affected_node_name,affected_node_type,affected_entity_type,affected_parent,total_propagation_score,max_path_score,mean_path_score,path_count,min_hop,max_hop,affected_rank
FIRM_0100,MongoDB,source_firm,database_platform,,1.007577222222222,0.9833333333333332,0.2518943055555555,4,1,3,1
FIRM_0155,Snowflake,source_firm,data_platform,,0.9370742129629629,0.8666666666666667,0.23426855324074072,4,1,3,2
FIRM_0041,Couchbase,source_firm,database_platform,,0.6813394444444444,0.6333333333333333,0.3406697222222222,2,1,3,3
FIRM_0163,Teradata,source_firm,data_platform,,0.5333333333333333,0.5333333333333333,0.5333333333333333,1,1,1,4
FIRM_0069,IBM,source_firm,technology_company,,0.4541261111111111,0.4,0.15137537037037038,3,1,3,5
FIRM_0129,Red Hat,target_entity,open_source_software,IBM,0.39761583333333334,0.2606666666666667,0.13253861111111112,3,2,3,6
FIRM_0168,Voyage AI,target_entity,embedding_ai,MongoDB,0.3621944444444443,0.3621944444444443,0.3621944444444443,1,2,2,7
FIRM_0132,SAP,source_firm,enterprise_software,,0.3456972222222222,0.12466666666666663,0.057616203703703704,6,1,3,8
FIRM_0065,HashiCorp,target_entity,infrastructure_software,IBM,0.29319333333333336,0.272,0.14659666666666668,2,2,3,9
FIRM_0070,Infosys,target_entity,it_services,,0.29277777777777775,0.16716666666666666,0.14638888888888887,2,2,2,10
FIRM_0162,Tencent Cloud,target_entity,cloud_provider,Tencent,0.2228888888888888,0.2228888888888888,0.2228888888888888,1,2,2,11
FIRM_0005,Alibaba Cloud,target_entity,cloud_provider,Alibaba,0.2228888888888888,0.2228888888888888,0.2228888888888888,1,2,2,11
FIRM_0031,Capgemini,target_entity,it_consulting,,0.192525,0.16716666666666666,0.04813125,4,2,3,13
FIRM_0002,Accenture,target_entity,it_consulting,,0.192525,0.16716666666666666,0.04813125,4,2,3,13
FIRM_0017,Anthropic,target_entity,ai_lab,,0.18109722222222213,0.18109722222222213,0.18109722222222213,1,2,2,15
FIRM_0080,LangChain,target_entity,ai_framework,,0.16716666666666666,0.16716666666666666,0.16716666666666666,1,2,2,16
FIRM_0040,Confluent,target_entity,data_streaming,,0.16716666666666666,0.16716666666666666,0.16716666666666666,1,2,2,16
FIRM_0085,LlamaIndex,target_entity,ai_framework,,0.16716666666666666,0.16716666666666666,0.16716666666666666,1,2,2,16
FIRM_0097,Microsoft,source_firm,company,,0.15881305555555555,0.14733333333333334,0.07940652777777778,2,2,3,19
FIRM_0047,Datavolo,target_entity,data_pipeline,Snowflake,0.14877833333333335,0.14733333333333334,0.07438916666666667,2,2,3,20
FIRM_0117,Oracle,source_firm,enterprise_software,,0.13438027777777775,0.12466666666666663,0.06719013888888888,2,2,3,21
FIRM_0013,Amdocs,target_entity,telecom_software,,0.1256111111111111,0.1256111111111111,0.1256111111111111,1,2,2,22
FIRM_0043,Crunchy Data Solutions,target_entity,database,Snowflake,0.12398194444444441,0.12277777777777774,0.061990972222222204,2,2,3,23
FIRM_0149,Salesforce,target_entity,enterprise_software,,0.08551472222222221,0.07933333333333333,0.04275736111111111,2,2,3,24
FIRM_0115,OpenAI,target_entity,ai_lab,OpenAI Group,0.07513999999999998,0.07513999999999998,0.07513999999999998,1,3,3,25
FIRM_0121,Palo Alto Networks,target_entity,cybersecurity,,0.07329833333333334,0.068,0.03664916666666667,2,2,3,26
FIRM_0110,Nuance Communications,target_entity,ai_software,Microsoft,0.0667911111111111,0.0667911111111111,0.0667911111111111,1,3,3,27
FIRM_0084,LinkedIn,target_entity,social_platform,Microsoft,0.05844222222222222,0.05844222222222222,0.05844222222222222,1,3,3,28
FIRM_0009,Amazon,source_firm,company,,0.051310879629629595,0.051310879629629595,0.051310879629629595,1,3,3,29
FIRM_0060,GitHub,target_entity,developer_platform,Microsoft,0.05009333333333334,0.05009333333333334,0.05009333333333334,1,3,3,30
FIRM_0032,Cerner,target_entity,healthcare_it,Oracle,0.0494511111111111,0.0494511111111111,0.0494511111111111,1,3,3,31
FIRM_0003,Activision Blizzard,target_entity,gaming,Microsoft,0.04174444444444444,0.04174444444444444,0.04174444444444444,1,3,3,32
FIRM_0143,SAP Schweiz,target_entity,enterprise_software,SAP,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0154,SmartRecruiters,target_entity,hr_software,,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0146,SAP UK,target_entity,enterprise_software,SAP,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0001,ADP,target_entity,hr_software,,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0137,SAP Deutschland,target_entity,enterprise_software,SAP,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0136,SAP Concur,target_entity,travel_expense_software,SAP,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0120,Palantir Technologies,target_entity,data_analytics,,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0046,Databricks,target_entity,data_ai_platform,,0.02535833333333333,0.010596666666666664,0.008452777777777776,3,2,3,33
FIRM_0067,Hewlett Packard Enterprise,target_entity,enterprise_hardware,,0.012523333333333334,0.012523333333333334,0.012523333333333334,1,3,3,41
FIRM_0048,Dell Technologies,target_entity,hardware,,0.012523333333333334,0.012523333333333334,0.012523333333333334,1,3,3,41
FIRM_0083,Lenovo,target_entity,hardware,,0.012523333333333334,0.012523333333333334,0.012523333333333334,1,3,3,41
