shock_id,shock_name,affected_node_id,affected_node_name,affected_node_type,affected_entity_type,affected_parent,hop,path_score,path_ids,path_names,last_edge_weight,last_relation_type,last_spillover_type,last_source_section
FIRM_0012,Amazon Web Services,FIRM_0132,SAP,source_firm,enterprise_software,,1,0.1,FIRM_0012 -> FIRM_0132,Amazon Web Services -> SAP,0.1,cloud_provider,operational,Item4
FIRM_0012,Amazon Web Services,FIRM_0120,Palantir Technologies,target_entity,data_analytics,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0120,Amazon Web Services -> SAP -> Palantir Technologies,0.1,ai_provider,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0046,Databricks,target_entity,data_ai_platform,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0046,Amazon Web Services -> SAP -> Databricks,0.1,data_provider,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0155,Snowflake,source_firm,data_platform,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0155,Amazon Web Services -> SAP -> Snowflake,0.1,data_provider,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0043,Crunchy Data Solutions,target_entity,database,Snowflake,3,0.0012041666666666663,FIRM_0012 -> FIRM_0132 -> FIRM_0155 -> FIRM_0043,Amazon Web Services -> SAP -> Snowflake -> Crunchy Data Solutions,0.1666666666666666,subsidiary,none,Item1A
FIRM_0012,Amazon Web Services,FIRM_0047,Datavolo,target_entity,data_pipeline,Snowflake,3,0.001445,FIRM_0012 -> FIRM_0132 -> FIRM_0155 -> FIRM_0047,Amazon Web Services -> SAP -> Snowflake -> Datavolo,0.2,subsidiary,operational,Item7
FIRM_0012,Amazon Web Services,FIRM_0002,Accenture,target_entity,it_consulting,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0002,Amazon Web Services -> SAP -> Accenture,0.1,software_vendor,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0100,MongoDB,source_firm,database_platform,,3,0.001445,FIRM_0012 -> FIRM_0132 -> FIRM_0002 -> FIRM_0100,Amazon Web Services -> SAP -> Accenture -> MongoDB,0.2,partner,none,Item1A
FIRM_0012,Amazon Web Services,FIRM_0031,Capgemini,target_entity,it_consulting,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0031,Amazon Web Services -> SAP -> Capgemini,0.1,software_vendor,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0100,MongoDB,source_firm,database_platform,,3,0.001445,FIRM_0012 -> FIRM_0132 -> FIRM_0031 -> FIRM_0100,Amazon Web Services -> SAP -> Capgemini -> MongoDB,0.2,partner,none,Item1A
FIRM_0012,Amazon Web Services,FIRM_0001,ADP,target_entity,hr_software,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0001,Amazon Web Services -> SAP -> ADP,0.1,software_vendor,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0154,SmartRecruiters,target_entity,hr_software,,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0154,Amazon Web Services -> SAP -> SmartRecruiters,0.1,investment_target,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0137,SAP Deutschland,target_entity,enterprise_software,SAP,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0137,Amazon Web Services -> SAP -> SAP Deutschland,0.1,subsidiary,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0143,SAP Schweiz,target_entity,enterprise_software,SAP,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0143,Amazon Web Services -> SAP -> SAP Schweiz,0.1,subsidiary,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0146,SAP UK,target_entity,enterprise_software,SAP,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0146,Amazon Web Services -> SAP -> SAP UK,0.1,subsidiary,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0136,SAP Concur,target_entity,travel_expense_software,SAP,2,0.0085,FIRM_0012 -> FIRM_0132 -> FIRM_0136,Amazon Web Services -> SAP -> SAP Concur,0.1,subsidiary,none,Item4
FIRM_0012,Amazon Web Services,FIRM_0069,IBM,source_firm,technology_company,,2,0.03116666666666666,FIRM_0012 -> FIRM_0132 -> FIRM_0069,Amazon Web Services -> SAP -> IBM,0.3666666666666666,partner,operational,Item1A
FIRM_0012,Amazon Web Services,FIRM_0065,HashiCorp,target_entity,infrastructure_software,IBM,3,0.021193333333333324,FIRM_0012 -> FIRM_0132 -> FIRM_0069 -> FIRM_0065,Amazon Web Services -> SAP -> IBM -> HashiCorp,0.7999999999999999,subsidiary,operational,Item8
FIRM_0012,Amazon Web Services,FIRM_0097,Microsoft,source_firm,company,,3,0.011479722222222216,FIRM_0012 -> FIRM_0132 -> FIRM_0069 -> FIRM_0097,Amazon Web Services -> SAP -> IBM -> Microsoft,0.4333333333333333,partner,performance,Item1A
