affected_node_id,affected_node_name,affected_node_type,affected_entity_type,affected_parent,total_propagation_score,max_path_score,mean_path_score,path_count,min_hop,max_hop,affected_rank
FIRM_0115,OpenAI,target_entity,ai_lab,OpenAI Group,0.6,0.6,0.6,1,1,1,1
FIRM_0110,Nuance Communications,target_entity,ai_software,Microsoft,0.5333333333333333,0.5333333333333333,0.5333333333333333,1,1,1,2
FIRM_0084,LinkedIn,target_entity,social_platform,Microsoft,0.4666666666666667,0.4666666666666667,0.4666666666666667,1,1,1,3
FIRM_0069,IBM,source_firm,technology_company,,0.4492283333333333,0.4333333333333333,0.22461416666666664,2,1,3,4
FIRM_0060,GitHub,target_entity,developer_platform,Microsoft,0.4,0.4,0.4,1,1,1,5
FIRM_0003,Activision Blizzard,target_entity,gaming,Microsoft,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,6
FIRM_0065,HashiCorp,target_entity,infrastructure_software,IBM,0.29466666666666663,0.29466666666666663,0.29466666666666663,1,2,2,7
FIRM_0129,Red Hat,target_entity,open_source_software,IBM,0.28238888888888886,0.28238888888888886,0.28238888888888886,1,2,2,8
FIRM_0132,SAP,source_firm,enterprise_software,,0.19857888888888886,0.1350555555555555,0.06619296296296295,3,2,3,9
FIRM_0012,Amazon Web Services,target_entity,cloud_provider,Amazon,0.14733333333333334,0.14733333333333334,0.14733333333333334,1,2,2,10
FIRM_0117,Oracle,source_firm,enterprise_software,,0.1350555555555555,0.1350555555555555,0.1350555555555555,1,2,2,11
FIRM_0041,Couchbase,source_firm,database_platform,,0.1313210648148148,0.07931444444444444,0.0656605324074074,2,3,3,12
FIRM_0155,Snowflake,source_firm,data_platform,,0.12435027777777777,0.10853555555555555,0.04145009259259259,3,3,3,13
FIRM_0100,MongoDB,source_firm,database_platform,,0.12314611111111108,0.12314611111111108,0.12314611111111108,1,3,3,14
FIRM_0083,Lenovo,target_entity,hardware,,0.1,0.1,0.1,1,1,1,15
FIRM_0067,Hewlett Packard Enterprise,target_entity,enterprise_hardware,,0.1,0.1,0.1,1,1,1,15
FIRM_0048,Dell Technologies,target_entity,hardware,,0.1,0.1,0.1,1,1,1,15
FIRM_0163,Teradata,source_firm,data_platform,,0.09795777777777778,0.0667911111111111,0.04897888888888889,2,2,3,18
FIRM_0149,Salesforce,target_entity,enterprise_software,,0.08594444444444443,0.08594444444444443,0.08594444444444443,1,2,2,19
FIRM_0121,Palo Alto Networks,target_entity,cybersecurity,,0.07366666666666667,0.07366666666666667,0.07366666666666667,1,2,2,20
FIRM_0032,Cerner,target_entity,healthcare_it,Oracle,0.05357203703703701,0.05357203703703701,0.05357203703703701,1,3,3,21
FIRM_0002,Accenture,target_entity,it_consulting,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0120,Palantir Technologies,target_entity,data_analytics,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0046,Databricks,target_entity,data_ai_platform,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0136,SAP Concur,target_entity,travel_expense_software,SAP,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0137,SAP Deutschland,target_entity,enterprise_software,SAP,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0143,SAP Schweiz,target_entity,enterprise_software,SAP,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0146,SAP UK,target_entity,enterprise_software,SAP,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0154,SmartRecruiters,target_entity,hr_software,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0031,Capgemini,target_entity,it_consulting,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
FIRM_0001,ADP,target_entity,hr_software,,0.015814722222222216,0.011479722222222216,0.007907361111111108,2,3,3,22
